product_code,name,price_per_unit,category_code
TEA001,Улун «Молочный»,1200.50,Tea
COF002,Эфиопия Иргачеффе,899.99,Coffee
SPI003,Куркума органическая,350.00,Spices
TEA004,Матча премиум,1800.00,Tea
COF005,Колумбия Супремо,950.00,Coffee
SPI006,Корица цейлонская,450.00,Spices
TEA007,Дарджилинг,1300.00,Tea
COF008,Гватемала Антьгуа,1100.00,Coffee
SPI009,Кардамон зелёный,600.00,Spices
TEA010,Жасминовый жемчуг,1400.00,Tea
COF011,Кения AA,850.00,Coffee
SPI012,Ваниль Мадагаскар,2000.00,Spices
TEA013,Пуэр «Красный дракон»,2500.00,Tea
COF014,Бразилия Сантос,750.00,Coffee
SPI015,Шафран испанский,5000.00,Spices
